oak%(n.)   ¾ó¾ð,¾ó¤ì
ongoing%(a.)   ¶i¦æ¤¤ªº
operate%(v.)   ¾Þ§@,¹BÂà;°Ê¤â³N(¡ãon )
operation%(n.)   ¾Þ§@,¹BÂà,¤â³N
operator%(n.)   ±µ½u¥Í
operational%(a.)   §@·~ªº
operative%(a.)   Âà°Êªº
only%(a.)   °ß¤@ªº
only%(adv.) ¥u
opinion%(n.)   ·N¨£,¬Ýªk,ÁÖ½×
onset%(n.)   §ðÀ»
onto%(¤¶)   ¨ì...¤§¤W
opponent%(n.)   ¹ï¤â,¼Ä¤â
opportunity%(n.)   ¾÷·|,®É¾÷
op%(n.)   (operation)¶}¤M¤â³N
oppose%(v.)   ¤Ï¹ï (be¡ãd to +N/Ving)(=object to +N)
onion%(n.)   ·N¨£½Õ¬d¡@
opposition%(n.)   ¤Ï¹ï,Êï§Ü
opposite%(a.)   ¬Û¹ïªº,¹ï­±ªº,¬Û¤Ïªº
opposite%(n.)   ¬Û¤Ïªº¨Æ©Îª«©Î¤H;¤Ï¸q¦r
opposite%(¤¶)   ¦b...¹ï­±
oppress%(v.)   À£­¢,À£­Ë
oppression%(n.)	 À£­¢, À£¨î
optical%(a.)   ²´ªº,µø¤Oªº,¥ú¾Çªº(=optic)
optimism%(n.)   ¼ÖÆ[
optimistic%(a.)   ¼ÖÆ[ªº
option%(n.)   ¿ï¾Ü,¨ú±Ë(=choice)
optional%(a.)   ¥i¿ï¾Üªº
oral%(a.)   ¤fÀYªº,¤f­zªº
or%(³s)   ©Î...
orange%(n.)   ¾í,¬a¾ïÃþ
orbit%(n.)   ­y¹D
orchestra%(n.)   ºÞ©¶¼Ö¶¤
ordeal%(n.)   ÄY»Åªº¦ÒÅç
order%(n.)   ¶¶§Ç,±ø²z,©R¥O,­qÁÊ
order%(v.)   ©R¥O,¤U¥O;©wÁÊ,ÂI(µæ)
ordinarily%(adv.) ¥­±`
orderly%(a.)   ¦³¯´§Çªº,¦³±ø²zªº
ordinary%(a.)   ¥­±`ªº,¥­¤Zªº
ordinance%(n.)   ªk¥O
organ%(n.)   ¾¹©x,­·µ^
organic%(a.)   ¦³¾÷Åéªº,¦³¾÷ªº
organism%(n.)   ¦³¾÷Åé,¥Íª«
organize%(v.)   ²ÕÂ´,Äw¿ì
organization%(n.)   ²ÕÂ´,ºc³y
Orient%(v.)   ªF¤è
oriented%(a.)	 ¥H...¬°¤è¦Vªº, ¥H...¬°¥Øªºªº
oriental%(a.)   ¨È¬wªº,ªF¤èªº
orientation%(n.)   ¾AÀ³
origin%(n.)   °_·½,¥X³B,¥X¨­
original%(a.)   ³Ìªìªº
original%(n.)   ­ì§@«~
originality%(n.)   ³Ð·N,³Ð³y¤O
originally%(adv.) °_ªì,¥»¨Ó
originate%(v.)   ³Ð©l,µo°_,°_·½( ¡ãfrom )
ornament%(n.)   ¸Ë¹¢,¸Ë¹¢«~
ornamental%(a.)   ¸Ë¹¢ªº
orphan%(n.)   ©t¨à
orphanage%(n.)   ©t¨à°|,©t¨àªº¨­¥÷
orthodox%(a.)   ¶Ç²Îªº
other%(a.)   ¥t¤@¤èªº
other%(¥N)   ¨ä¥Lªº¨Æª«
otherwise%(adv.) §_«h
ought%(§U)   ¡ãto :À³¸Ó
ounce%(n.)   ¯s¥q
our%(¥N)   §Ú­Ìªº
ours%(¥N)   §Ú­Ìªº
outbreak%(n.)   Ãzµo,ÄÌ°Ê
ourselves%(¥N)   §â§Ú­Ì¦Û¤v
oust%(v.)   »°¨«
outcome%(n.)   µ²ªG,¦¨ªG
out%(adv.) ¦b¥~
out%(¤¶)	  ³q¹L...¦Ó¥X,ªuµÛ...¦Ó¥h
outer%(a.)   ¥~­±ªº
outdoor%(a.)   ¤á¥~ªº
ourdoors%(adv.) ¤á¥~¦a
outfit%(n.)   ¥þ®M¸Ë³Æ
outing%(n.)   ­¥¹C,»·¨¬
outlaw%(n.)   ¤ï®{,¸o¥Ç,¤`©R¤§®{
outlet%(n.)   ¥X¤f,¥X¸ô
outline%(n.)   ½ü¹ø,¤jºõ,ºõ­n
outline%(v.)   µe²¤¹Ï
outlook%(n.)   ®i±æ,´º¦â,¬Ýªk
outnumber%(v.)   ¼Æ¶q³Ó¹L
out-of-date%(a.)   ¹L®Éªº,ÂÂ¦¡ªº
output%(n.)   ²£«~
outrage%(n.)   ¼É¦æ
outside%(n.)   ¥~°¼
outside%(a.)   ¥~³¡ªº
outside%(adv.) ¦b¥~­±¦a
outside%(¤¶)   ¦b...ªº¥~­±
outrageous%(a.)   ´Ý¼Éªº
outsider%(n.)   §½¥~¤H,«D·|­û
outright%(adv.) §¹¥þ¦a
outskirts%(n.)   ¥«­¥,­¥°Ï
outset%(n.)   ³Ìªì
outstanding%(a.)   ³Ç¥Xªº,ÅãµÛªº
outward%(a.)   ¥~­±ªº
oven%(n.)   ¯N½c,¯NÄl
outwards%(adv.) =outward
overall%(a.)   ¥þ³¡ªº,¥þ½Lªº
over%(¤¶)   ¦b...¤§¤W
over%(adv.) ¦b¤W¤è
overcoat%(n.)   ¤j¦ç,¥~®M
overcome%(v.)   §JªA,À»±Ñ
overcrowded%(a.)   ¤Ó¹L¾ÖÀ½
overdo%(v.)   ¸Ø¤j
overdue%(a.)   ¿ð¨ìªº,¹L´Áªº
overhead%(adv.) ¦bÀY³»¤W
overhear%(v.)   µL·N¤¤Å¥¨ì
overhead%(n.)   §ë¼v¾÷
overlap%(v.)   ³¡¥÷­«Å|
overlook%(v.)   ­Áµø,ºÊ·þ;©¿µø
overnight%(adv.) ¹L©]ªº,¤@©]¤§¶¡
overseas%(adv.) ®ü¥~,¦b°ê¥~
oversee%(v.)   ºÊ·þ,·þ¾É;­Áµø
overtake%(v.)   »°¤W,¶W¹L
overthrow%(v.)   ±ÀÂ½,¥´­Ë
overturn%(v.)   §Ë­Ë
overwhelm%(v.)   À£­Ë,¨Ï¤Q¤À·P°Ê
overwork%(v.)   ¹L«×¤u§@
overwhelming%(a.)   À£­Ë©Êªº
owe%(v.)   ¤í,Âk¥\©ó(¡ãsth. to sb.)
owing%(a.)   ¸Ó¥Iªº
owl%(n.)   ¿ßÀYÆN
own%(a.)   ¦Û¤vªº
own%(v.)   ¾Ö¦³,©Ó»{
owner%(n.)   ©Ò¦³ªÌ
ownership%(n.)   ©Ò¦³Åv
oxidation%(n.)   ®ñ¤Æ
oxygen%(n.)   ®ñ
oyster%(n.)   Ä®,¨dÄ÷
ozone%(n.)   ¯ä®ð
OZ%(ÁY¼g)ounce(s)¯s¥q
