wage%(n.)   工資,薪水
woman%(n.)   女性,女人,女子
wonder%(v.)   感到詫異,想知道
wonder%(n.)   驚奇,奇觀
wonderful%(a.)   極好的,可驚歎的
wood%(n.)   木材;森林,樹林
wooden%(a.)   木製的
woodpecker%(n.)   啄木鳥
wool%(n.)   羊毛,毛料
word%(n.)   字,單字,言辭,話
wording%(n.)   措辭,用字
work%(n.)   工作;著作,作品
work%(v.)   工作,做事,用功
workshop%(n.)   勞役所,感化院
world%(n.)   世界,人間,社會
worldly%(a.) 現世的,塵世的,世俗的
worm%(n.)   蟲,蠕蟲
worn-out%(a.)   用舊了的,磨壞的
worry%(v.)   使擔心;擔心
worry%(n.)   擔心,心煩,憂慮
worried%(a.)   感到擔心的
worrying%(a.)   令人擔心的
worse%(a.)   (使)惡化,變壞
worse%(a.)   更壞的,更差的
worst%(a.)   最壞的,最差的
worship%(n.)   崇拜,崇敬;拜
worth%(a.)   值得...的,值...
worth%(n.)   價值
worthy%(a.)   值得... 的,值得被...的,配稱
worthy%(n.)   大人物
worthwhile%(a.)   值得做的;有價值的
wound%(n.)   傷,傷害
wound%(v.) wind的過去式及過去分詞
wrap%(v.)   包,披,使陷入
wreck%(n.)   遇難,挫折,毀滅
wreck%(v.)   破壞
wreckage%(n.)   殘骸
wrench%(v.)   扭,扭傷,歪曲
wrench%(n.)   螺絲鉗
wrestle%(v.)   摔角,角力
wrinkle%(n.)   皺紋,摺痕
wrist%(n.)   手腕
wristwatch%(n.)   手錶
write%(v.)   書寫,寫
wrong%(a)不對的,錯誤的,有毛病的
wrong%(n.)   惡,過失,壞事
wrongdoing%(n.)   惡行
Welsh%(a.)   威爾斯的
west%(adv.) 向西
West%(n.)   西德
West%(a.)   西印度群島的
wet%(v.)   把...淋溼
wet%(n.)   濕氣
what%(代)   甚麼
what%(a.)   甚麼樣的
what%(adv.) 多麼
whatever%(代)   甚麼都
whatever%(a.)   無論甚麼...都
whatsoever%(代)(a.)=whatever
when%(v.)   何時
whenever%(adv.) 究竟何時
where%(adv.) 在哪裏
whereabouts%(adv.) 在哪一帶
whereby%(adv.) 憑那個
wherever%(adv.) 究竟在[到]哪裏
which%(代)   哪個
whichever%(代)   任何...的東西
while%(v.)   消磨
whilst%(連)   =while
whip%(n.)   鞭子
whip%(v.)   鞭打...
whirlwind%(n.)   旋風
whisk%(v.)   揮走
white%(n.)   =white book
Whitehall%(n.)   白廳
who%(代)   1.疑問代名詞 2.關係代名詞
whoever%(代)   任何...的人都
whom%(代)   1.疑問代名詞 2.誰
wag%(v.)   (尾巴等)搖擺
wages%(n.用作單數或複數)    代價; 報償
waitress%(n.)   女服務生
walking%(n.)   手杖
wallpaper%(n.)   壁紙
Wall%(n.)   華爾街
walnut%(n.)   胡桃
warfare%(n.)   戰爭
warm%(n.)   加溫
warmly%(adv.) 溫暖地
warship%(n.)   軍艦
wartime%(n.)   戰時
wastepaper%(n.)   字紙簍
watchdog%(n.)   看門狗
watercolour%(n.)   (英)=watercolor
wavelength%(n.)   [物理]波長
waver%(v.)   搖擺
wavy%(a.)   波浪的
way-out%(a.)   奇異的
wayside%(n.)   路邊
wayward%(a.)   任性的
we%(代)   我們
weaver%(n.)   織[編]者
wed%(v.)   結婚
Wed.%(縮寫)Wednesday
wedge%(n.)   楔子
wee%(a.)   極小的
weekly%(a.)   每週的
weird%(a.)   不可思議的
well%(adv.) 很好地
well%(a.)   健康的
well%(n.)   水井
well-bred%(a.)   教養良好的
well-done%(a.)   (肉)烤[煮]得全熟的
whose%(代)    1.疑問代名詞 2.關係代名詞
why%(adv.)  為什麼
wicket%(n.)    小門
wider%(adj.)  寬闊的,寬鬆的,寬度為...的,廣闊的,廣泛的
widespread%(a.)    遍及廣大範圍的
wildlife%(n.)    野生動物
wildly%(adv.)  粗暴地
willingly%(adv.)  樂意地
window-shop%(v.)    瀏覽櫥窗
winner%(n.)    獲勝者
winner%(a.)    勝利的
wintry%(a.)    冬天的
wireless%(a.)    無線的
wisely%(adv.)  聰明地
with%(介)    偕同
witty%(a.)    富有機智的
woe%(n.)    悲哀
wondrous%(a.)    可驚奇的
won't%(口語)will not的縮寫
woo%(v.)    求愛
wooded%(a.)    有樹林的
woodland%(n.)    林地
woolen%(a.)(n.)(英)=woolen羊毛的
wordy%(a.)    多話的
work%(v.)    工作, 勞動, 幹活
work%(n.)    工作; 勞動; 作業; 事
workable%(a.)    (機器等)可運轉的
worker%(n.)    工作者
working%(a.)    工作的
working%(n.)    勞工階級
workman%(n.)    工匠
workout%(n.)    練習
world%(n.)    世界大戰
worldwide%(a.)    全球性的
worthless%(a.)    沒有價值的
would%(助)    將會..
would-be%(a.)    想成為...的
wrapper%(n.)    包裝紙
wretch%(n.)    可憐蟲
writer%(n.)    作家
writing%(n.)    書寫
written%(v.)    write 的過去分詞
wrongdoer%(n.)    罪犯
