rife%(a.)    (不好的事物)廣布的
rubbish%(n.)    垃圾,廢物
rude%(a.)    粗魯的,無禮的
rudeness%(n.)    無禮
rug%(n.)    地毯
rugged%(a.)    崎嶇的
ruin%(n.)    毀滅,破壞,敗落
ruin%(v.)    使...毀滅
rule%(n.)    規則,規定;習慣,統治
rule%(v.)    統治,支配
ruling%(a.)    統治的,支配的
ruler%(n.)    統治者,支配者,尺
rumor%(n.)    謠言,傳說
run%(v.)    跑,奔,逃走,運轉
rural%(a.)    鄉下的,鄉村的
rush%(v.)    衝,催促
rush%(n.)    衝,催促
rush%(a.)    緊急的, 急需的
Russian%(a.)    俄國(人)的
rust%(n.)    鏽
rusty%(a.)    生鏽的,荒疏的
ruthless%(a.)    無情的,冷酷的
